 0.9000   596675 0.9100   605050      1       -1       -1       -1  0 5.52900e+11 5.52900e+11 174.940000 11.672000 136.860000  1 0.3100 163.350000 34.19132 7.94697 47.80203 -138.140 53.360 -196.600 4.213e+10 -3.189e+11 5.935e+11 0.05129 302225 302225 679989 5591 78 302214 302284 11.6718 552910000000 562450000000 505250000000 438520000000 247860000000 14.4741 0 0.04462 0.74933 0.64192 -8.69396 21.6557 -6.95712 0.75484 0.47895 -9.49445 18.0711 -8.20523 0.4784 757800000000 247900000000
 0.8900   588263 0.9000   596675      1       -1       -1       -1  0 5.52900e+11 5.52900e+11 175.635000 11.542000 139.500000  1 0.3100 164.590000 34.21767 7.93972 47.83448 -136.370 53.060 -196.050 4.636e+10 -3.148e+11 5.902e+11 0.05054 302226 302226 679989 5619 77 302214 302284 11.5416 552910000000 562450000000 533850000000 438520000000 209730000000 10.1312 0 0.04447 0.9317 0.82441 -2.37979 17.9237 -3.46953 0.93673 0.5044 10.7901 -2.30575 14.0204 0.4933 835300000000 209700000000
 0.8800   579883 0.8900   588263      1       -1       -1       -1  0 5.52900e+11 5.52900e+11 176.327000 11.475000 136.100000  1 0.3100 165.620000 34.24476 7.92715 47.85418 -133.030 53.020 -193.920 3.707e+09 -2.022e+11 6.304e+11 0.05035 302227 302227 679989 5616 76 302214 302284 11.4748 552910000000 562450000000 524310000000 438520000000 247860000000 9.97049 0 0.04407 0.91151 0.73977 -7.42889 17.9367 12.389 0.80137 0.73304 -4.29155 18.1257 10.7653 0.4776 859500000000 209700000000
 0.8700   571406 0.8800   579883      1       -1       -1       -1  0 5.46533e+11 5.52900e+11 177.017000 11.630000 134.600000  1 0.3100 165.830000 34.26266 7.91403 47.87941 -131.360 52.690 -193.100 3.734e+09 -2.014e+11 6.235e+11 0.05034 302228 302228 679989 4665 75 302214 302284 11.6304 552910000000 562450000000 514780000000 448050000000 228790000000 9.15425 0 0.04379 0.86839 0.56843 -8.96277 11.0611 20.2859 0.58951 0.46979 -6.53422 19.1153 17.2246 0.4683 768800000000 219300000000
 0.8600   562942 0.8700   571406      1       -1       -1       -1  0 5.40167e+11 5.33800e+11 175.638000 11.338000 137.850000  1 0.3100 165.300000 34.28126 7.91548 47.90553 -132.470 53.590 -193.160 -2.464e+10 -3.297e+11 5.074e+11 0.04918 302229 302229 679989 5692 74 302214 302284 11.3379 533850000000 562450000000 505250000000 419450000000 257390000000 8.79546 0 0.04307 0.67923 0.41708 -11.1609 19.986 9.34123 0.58449 0.31999 -13.5102 20.2194 3.91197 0.488 760200000000 219300000000
 0.8500   554504 0.8600   562942      1       -1       -1       -1  0 5.33800e+11 5.33800e+11 176.316000 10.308000 136.190000  1 0.3100 170.400000 34.31089 7.90138 47.93676 -130.460 53.270 -192.520 -1.384e+10 -3.288e+11 5.062e+11 0.04873 302230 302230 679989 5677 73 302214 302284 10.3077 533850000000 562450000000 524310000000 409920000000 276460000000 13.8774 0 0.04311 0.69872 0.46666 -8.85197 17.3203 5.24081 0.42171 0.26488 -10.977 17.0133 -2.75471 0.487 764800000000 190700000000
 0.8400   546004 0.8500   554504      1       -1       -1       -1  0 5.33800e+11 5.33800e+11 176.990000 11.585000 131.190000  1 0.3100 166.010000 34.33360 7.89317 47.96090 -128.380 52.920 -191.890 -1.732e+09 -3.287e+11 5.062e+11 0.04820 302231 302231 679989 5724 72 302214 302284 11.5854 533850000000 552910000000 505250000000 390850000000 257390000000 18.3102 0 0.04326 0.91703 0.77432 -2.76412 9.10057 22.0465 0.85507 0.42853 -8.62027 20.2611 -2.01022 0.476 717300000000 228800000000
 0.8300   537486 0.8400   546004      1       -1       -1       -1  0 5.30633e+11 5.33800e+11 177.662000 16.411000 124.000000  1 0.3100 153.110000 34.36307 7.88307 47.99847 -125.890 52.170 -192.480 2.934e+10 -3.783e+11 5.230e+11 0.04992 302232 302232 679989 5721 71 302214 302284 16.411 533850000000 562450000000 457580000000 352720000000 181130000000 25.7568 0 0.04651 0.60645 0.37099 8.7922 7.44915 26.2595 0.58107 0.22022 9.62411 9.37817 22.666 0.4665 599900000000 266900000000
 0.8200   528894 0.8300   537486      1       -1       -1       -1  0 5.14767e+11 5.24300e+11 177.263000 16.362000 116.710000  1 0.3100 152.850000 34.38086 7.88037 48.01591 -125.090 52.490 -185.220 -6.938e+10 -1.551e+11 4.656e+11 0.03993 302233 302233 679989 4703 70 302214 302284 16.3621 524310000000 552910000000 438520000000 362250000000 171590000000 24.6467 0 0.03692 0.60629 0.46264 13.8155 11.1311 25.8195 0.44492 0.26301 16.4956 9.81206 23.1308 0.4353 626000000000 266900000000
 0.8100   520252 0.8200   528894      1       -1       -1       -1  0 4.92533e+11 4.86200e+11 173.502000 20.438000 109.840000  1 0.3100 141.950000 34.40864 7.87256 48.04881 -124.870 58.940 -181.210 -2.581e+11 -1.900e+11 3.050e+11 0.04087 302234 302234 679989 5775 69 302214 302284 20.4379 486180000000 543380000000 419450000000 352720000000 142990000000 14.6592 0 0.03754 0.8738 0.47933 10.7464 10.715 19.5001 0.96109 0.46744 -7.32306 19.3838 3.82187 0.4116 538400000000 295500000000
